Case ID,Policy Number,Client Number,Snapshot Date,Outstanding Amount,Transactions_Found,Amount_Match_Count,Post_Snapshot_Count,Valid_Match_Count,Review Result,Refund Transaction ID,Refund Amount,Refund Processed By,Refund Processed Date,Refund Reason,Automated Completion
DH000001,PET000001,CL000029,2025-01-31,3.11,0,0,0,0,No Accounting Transaction,,,,,,False
DH000002,PET000002,CL000155,2025-01-31,2.39,0,0,0,0,No Accounting Transaction,,,,,,False
DH000003,PET000003,CL000179,2025-01-31,21.12,0,0,0,0,No Accounting Transaction,,,,,,False
DH000004,PET000004,CL000032,2025-01-31,175.71,0,0,0,0,No Accounting Transaction,,,,,,False
DH000005,PET000005,CL000075,2025-01-31,271.06,0,0,0,0,No Accounting Transaction,,,,,,False
DH000006,PET000006,CL000019,2025-01-31,58.57,0,0,0,0,No Accounting Transaction,,,,,,False
DH000007,PET000007,CL000197,2025-01-31,61.46,0,0,0,0,No Accounting Transaction,,,,,,False
DH000008,PET000008,CL000036,2025-01-31,32.46,0,0,0,0,No Accounting Transaction,,,,,,False
DH000009,PET000009,CL000029,2025-01-31,16.41,0,0,0,0,No Accounting Transaction,,,,,,False
DH000010,PET000010,CL000003,2025-01-31,55.74,0,0,0,0,No Accounting Transaction,,,,,,False
DH000011,PET000011,CL000068,2025-01-31,252.39,0,0,0,0,No Accounting Transaction,,,,,,False
DH000012,PET000012,CL000001,2025-01-31,29.55,0,0,0,0,No Accounting Transaction,,,,,,False
DH000013,PET000013,CL000018,2025-01-31,206.55,0,0,0,0,No Accounting Transaction,,,,,,False
DH000014,PET000014,CL000177,2025-01-31,22.48,0,0,0,0,No Accounting Transaction,,,,,,False
DH000015,PET000015,CL000057,2025-01-31,7.22,0,0,0,0,No Accounting Transaction,,,,,,False
DH000016,PET000016,CL000147,2025-01-31,19.73,0,0,0,0,No Accounting Transaction,,,,,,False
DH000017,PET000017,CL000166,2025-01-31,4.32,0,0,0,0,No Accounting Transaction,,,,,,False
DH000018,PET000018,CL000141,2025-01-31,6.7,0,0,0,0,No Accounting Transaction,,,,,,False
DH000019,PET000019,CL000098,2025-01-31,4.21,1,0,1,0,Amount Mismatch,,,,,,False
DH000020,PET000020,CL000125,2025-01-31,21.88,0,0,0,0,No Accounting Transaction,,,,,,False
DH000021,PET000021,CL000136,2025-01-31,48.43,0,0,0,0,No Accounting Transaction,,,,,,False
DH000022,PET000022,CL000021,2025-01-31,33.35,0,0,0,0,No Accounting Transaction,,,,,,False
DH000023,PET000023,CL000193,2025-01-31,101.87,0,0,0,0,No Accounting Transaction,,,,,,False
DH000024,PET000024,CL000063,2025-01-31,16.32,0,0,0,0,No Accounting Transaction,,,,,,False
DH000025,PET000025,CL000035,2025-01-31,45.59,0,0,0,0,No Accounting Transaction,,,,,,False
DH000026,PET000026,CL000126,2025-01-31,46.33,0,0,0,0,No Accounting Transaction,,,,,,False
DH000027,PET000027,CL000181,2025-01-31,10.4,0,0,0,0,No Accounting Transaction,,,,,,False
DH000028,PET000028,CL000079,2025-01-31,47.32,0,0,0,0,No Accounting Transaction,,,,,,False
DH000029,PET000029,CL000105,2025-01-31,249.9,0,0,0,0,No Accounting Transaction,,,,,,False
DH000030,PET000030,CL000106,2025-01-31,93.2,1,1,1,1,Confirmed Unique Match,RT000296,93.2,FIN001,2025-02-09,Refund due following policy review,True
DH000031,PET000031,CL000090,2025-01-31,41.82,1,1,1,1,Confirmed Unique Match,RT000131,41.82,FIN001,2025-02-23,Premium collected after cancellation,True
DH000032,PET000032,CL000103,2025-01-31,92.18,0,0,0,0,No Accounting Transaction,,,,,,False
DH000033,PET000033,CL000089,2025-01-31,65.69,1,1,1,1,Confirmed Unique Match,RT000095,65.69,FIN002,2025-02-10,Premium collected after cancellation,True
DH000034,PET000034,CL000185,2025-01-31,247.41,0,0,0,0,No Accounting Transaction,,,,,,False
DH000035,PET000035,CL000171,2025-01-31,26.1,0,0,0,0,No Accounting Transaction,,,,,,False
DH000036,PET000036,CL000074,2025-01-31,41.43,0,0,0,0,No Accounting Transaction,,,,,,False
DH000037,PET000037,CL000189,2025-01-31,13.4,0,0,0,0,No Accounting Transaction,,,,,,False
DH000038,PET000038,CL000063,2025-01-31,222.26,0,0,0,0,No Accounting Transaction,,,,,,False
DH000039,PET000039,CL000177,2025-01-31,7.63,0,0,0,0,No Accounting Transaction,,,,,,False
DH000040,PET000040,CL000032,2025-01-31,42.06,0,0,0,0,No Accounting Transaction,,,,,,False
DH000041,PET000041,CL000130,2025-01-31,46.28,0,0,0,0,No Accounting Transaction,,,,,,False
DH000042,PET000042,CL000125,2025-01-31,63.74,0,0,0,0,No Accounting Transaction,,,,,,False
DH000043,PET000043,CL000105,2025-01-31,28.64,0,0,0,0,No Accounting Transaction,,,,,,False
DH000044,PET000044,CL000091,2025-01-31,25.61,1,1,1,1,Confirmed Unique Match,RT000306,25.61,DH001,2025-02-24,Refund due following policy review,True
DH000045,PET000045,CL000104,2025-01-31,92.03,1,1,1,1,Confirmed Unique Match,RT000184,92.03,FIN001,2025-03-01,Premium collected after cancellation,True
DH000046,PET000046,CL000110,2025-01-31,4.89,1,1,1,1,Confirmed Unique Match,RT000155,4.89,DH002,2025-02-17,Premium collected after cancellation,True
DH000047,PET000047,CL000065,2025-01-31,73.52,0,0,0,0,No Accounting Transaction,,,,,,False
DH000048,PET000048,CL000064,2025-01-31,10.82,0,0,0,0,No Accounting Transaction,,,,,,False
DH000049,PET000049,CL000184,2025-01-31,8.28,1,1,0,0,Refund Not After Snapshot,,,,,,False
DH000051,PET000051,CL000011,2025-01-31,27.14,0,0,0,0,No Accounting Transaction,,,,,,False
DH000052,PET000052,CL000118,2025-01-31,71.78,0,0,0,0,No Accounting Transaction,,,,,,False
DH000053,PET000053,CL000023,2025-01-31,28.04,1,1,1,1,Confirmed Unique Match,RT000465,28.04,DH001,2025-03-01,Customer account correction,True
DH000054,PET000054,CL000067,2025-01-31,45.21,0,0,0,0,No Accounting Transaction,,,,,,False
DH000055,PET000055,CL000166,2025-01-31,72.41,0,0,0,0,No Accounting Transaction,,,,,,False
DH000056,PET000056,CL000191,2025-01-31,24.08,0,0,0,0,No Accounting Transaction,,,,,,False
DH000057,PET000057,CL000190,2025-01-31,38.99,0,0,0,0,No Accounting Transaction,,,,,,False
DH000058,PET000058,CL000182,2025-01-31,20.98,1,1,1,1,Confirmed Unique Match,RT000236,20.98,FIN001,2025-02-21,Premium collected after cancellation,True
DH000059,PET000059,CL000073,2025-01-31,27.62,0,0,0,0,No Accounting Transaction,,,,,,False
DH000060,PET000060,CL000014,2025-01-31,42.45,0,0,0,0,No Accounting Transaction,,,,,,False
DH000061,PET000061,CL000199,2025-01-31,28.03,0,0,0,0,No Accounting Transaction,,,,,,False
DH000062,PET000062,CL000055,2025-01-31,13.26,0,0,0,0,No Accounting Transaction,,,,,,False
DH000063,PET000063,CL000073,2025-01-31,72.71,0,0,0,0,No Accounting Transaction,,,,,,False
DH000064,PET000064,CL000019,2025-01-31,8.03,0,0,0,0,No Accounting Transaction,,,,,,False
DH000065,PET000065,CL000127,2025-01-31,33.93,1,1,1,1,Confirmed Unique Match,RT000151,33.93,FIN002,2025-02-15,Premium collected after cancellation,True
DH000066,PET000066,CL000006,2025-01-31,234.46,0,0,0,0,No Accounting Transaction,,,,,,False
DH000067,PET000067,CL000126,2025-01-31,194.01,0,0,0,0,No Accounting Transaction,,,,,,False
DH000068,PET000068,CL000010,2025-01-31,22.59,0,0,0,0,No Accounting Transaction,,,,,,False
DH000069,PET000069,CL000093,2025-01-31,74.93,1,1,1,1,Confirmed Unique Match,RT000097,74.93,DH001,2025-02-18,Customer account correction,True
DH000070,PET000070,CL000062,2025-01-31,65.54,0,0,0,0,No Accounting Transaction,,,,,,False
DH000071,PET000071,CL000131,2025-01-31,70.78,0,0,0,0,No Accounting Transaction,,,,,,False
DH000072,PET000072,CL000198,2025-01-31,70.75,1,1,1,1,Confirmed Unique Match,RT000231,70.75,DH002,2025-02-22,Customer account correction,True
DH000073,PET000073,CL000039,2025-01-31,29.38,0,0,0,0,No Accounting Transaction,,,,,,False
DH000074,PET000074,CL000199,2025-01-31,22.73,1,0,1,0,Amount Mismatch,,,,,,False
