Refund Transaction ID,Policy Number,Client Number,Refund Amount,Refund Processed By,Refund Processed Date,Refund Reason
RT000001,PET000445,CL000043,25.59,DH001,2025-04-04,Customer account correction
RT000002,PET002396,CL000156,47.49,FIN002,2026-04-20,Refund due following policy review
RT000003,PET000763,CL000053,16.41,FIN001,2025-06-29,Refund due following policy review
RT000004,PET000653,CL000124,97.63,DH002,2025-06-27,Customer account correction
RT000005,PET002676,CL000117,78.62,DH002,2026-06-09,Missed cancellation refund
RT000006,PET001399,CL000074,31.23,FIN002,2025-10-14,Customer account correction
RT000007,PET002768,CL000041,40.41,DH001,2026-07-16,Customer account correction
RT000008,PET001686,CL000035,41.92,FIN001,2025-12-08,Refund due following policy review
RT000009,PET000791,CL000007,25.29,DH001,2025-06-09,Refund due following policy review
RT000010,PET002663,CL000141,56.02,DH001,2026-06-08,Refund due following policy review
RT000011,PET001319,CL000026,84.29,FIN001,2025-10-30,Premium collected after cancellation
RT000012,PET001151,CL000177,10.09,FIN002,2025-08-23,Customer account correction
RT000013,PET001465,CL000103,96.12,FIN001,2025-11-26,Missed cancellation refund
RT000014,PET000596,CL000198,28.96,FIN002,2025-05-25,Premium collected after cancellation
RT000015,PET002212,CL000025,22.45,FIN001,2026-03-29,Refund due following policy review
RT000016,PET000298,CL000078,14.05,FIN002,2025-03-04,Customer account correction
RT000017,PET001224,CL000177,19.58,FIN001,2025-09-27,Premium collected after cancellation
RT000018,PET000241,CL000012,113.79,DH001,2025-03-02,Premium collected after cancellation
RT000019,PET001712,CL000162,169.2,FIN002,2025-12-15,Missed cancellation refund
RT000020,PET001393,CL000028,20.45,DH002,2025-10-18,Missed cancellation refund
RT000021,PET000614,CL000078,99.35,FIN001,2025-05-11,Missed cancellation refund
RT000022,PET002175,CL000160,221.76,DH002,2026-03-05,Missed cancellation refund
RT000023,PET001596,CL000098,59.63,DH001,2025-11-06,Customer account correction
RT000024,PET002439,CL000169,133.59,FIN002,2026-05-25,Customer account correction
RT000025,PET001380,CL000197,0.66,FIN002,2025-10-10,Customer account correction
RT000026,PET000523,CL000135,113.23,FIN001,2025-05-10,Missed cancellation refund
RT000027,PET002501,CL000060,0.83,DH002,2026-05-28,Missed cancellation refund
RT000028,PET001540,CL000119,97.27,FIN002,2025-11-05,Premium collected after cancellation
RT000029,PET002742,CL000055,283.1,FIN001,2026-07-28,Refund due following policy review
RT000030,PET000646,CL000157,53.3,DH002,2025-06-28,Premium collected after cancellation
RT000031,PET001253,CL000049,84.57,DH002,2025-09-18,Premium collected after cancellation
RT000032,PET001811,CL000164,10.89,DH001,2026-01-05,Missed cancellation refund
RT000033,PET001974,CL000101,75.77,DH001,2026-02-05,Refund due following policy review
RT000034,PET000370,CL000133,37.57,FIN001,2025-04-09,Premium collected after cancellation
RT000035,PET002870,CL000094,2.05,FIN002,2026-07-18,Missed cancellation refund
RT000036,PET001003,CL000162,30.3,DH001,2025-08-05,Refund due following policy review
RT000037,PET000164,CL000048,3.7,FIN002,2025-02-14,Customer account correction
RT000038,PET001780,CL000114,33.66,FIN002,2026-01-04,Missed cancellation refund
RT000039,PET002068,CL000030,41.55,DH002,2026-02-17,Premium collected after cancellation
