Case ID,Agent Working,Agent Notes,Case Status,Final Outcome,Completed By,Completion Date,Last Updated Date
DH000001,,,Open,,,,2025-02-15
DH000002,,,Open,,,,2025-02-15
DH000003,,,Open,,,,2025-02-15
DH000004,,,Open,,,,2025-02-15
DH000005,,,Open,,,,2025-02-15
DH000006,,,Open,,,,2025-02-15
DH000007,,,Open,,,,2025-02-15
DH000008,,,Open,,,,2025-02-15
DH000009,,,Open,,,,2025-02-15
DH000010,,,Open,,,,2025-02-15
DH000011,,,Open,,,,2025-02-15
DH000012,,,Open,,,,2025-02-15
DH000013,,,Open,,,,2025-02-15
DH000014,,,Open,,,,2025-02-15
DH000015,,,Open,,,,2025-02-15
DH000016,,,Open,,,,2025-02-15
DH000017,,,Open,,,,2025-02-15
DH000018,,,Open,,,,2025-02-15
DH000019,,,Open,,,,2025-02-15
DH000020,,,Open,,,,2025-02-15
DH000021,,,Open,,,,2025-02-15
DH000022,,,Open,,,,2025-02-15
DH000023,,,Open,,,,2025-02-15
DH000024,,,Open,,,,2025-02-15
DH000025,,,Open,,,,2025-02-15
DH000026,,,Open,,,,2025-02-15
DH000027,,,Open,,,,2025-02-15
DH000028,,,Open,,,,2025-02-15
DH000029,,,Open,,,,2025-02-15
DH000030,,,Open,,,,2025-02-15
DH000031,,,Open,,,,2025-02-15
DH000032,,,Open,,,,2025-02-15
DH000033,,,Open,,,,2025-02-15
DH000034,,,Open,,,,2025-02-15
DH000035,,,Open,,,,2025-02-15
DH000036,,,Open,,,,2025-02-15
DH000037,,,Open,,,,2025-02-15
DH000038,,,Open,,,,2025-02-15
DH000039,,,Open,,,,2025-02-15
DH000040,,,Open,,,,2025-02-15
DH000041,,,Open,,,,2025-02-15
DH000042,,,Open,,,,2025-02-15
DH000043,,,Open,,,,2025-02-15
DH000044,,,Open,,,,2025-02-15
DH000045,,,Open,,,,2025-02-15
DH000046,,,Open,,,,2025-02-15
DH000047,,,Open,,,,2025-02-15
DH000048,,,Open,,,,2025-02-15
DH000049,,,Open,,,,2025-02-15
DH000050,DH001,Senior review completed; refund processed.,Completed,Refund Processed,DH001,2026-07-21,2026-07-21
DH000051,,,Open,,,,2025-02-15
DH000052,,,Open,,,,2025-02-15
DH000053,,,Open,,,,2025-02-15
DH000054,,,Open,,,,2025-02-15
DH000055,,,Open,,,,2025-02-15
DH000056,,,Open,,,,2025-02-15
DH000057,,,Open,,,,2025-02-15
DH000058,,,Open,,,,2025-02-15
DH000059,,,Open,,,,2025-02-15
DH000060,,,Open,,,,2025-02-15
DH000061,,,Open,,,,2025-02-15
DH000062,,,Open,,,,2025-02-15
DH000063,,,Open,,,,2025-02-15
DH000064,,,Open,,,,2025-02-15
DH000065,,,Open,,,,2025-02-15
