Case ID,Policy Number,Client Number,Snapshot Date,Outstanding Amount,Cancellation Status,Cancelling Department,Cancelling Agent,Refund Type,Root Cause,Customer Contacted
DH000001,PET000001,CL000029,2025-01-31,3.11,Cancelled,Customer Service,CS018,Cancellation Before Premium Due,Payment Date Misunderstood,Yes
DH000002,PET000002,CL000155,2025-01-31,2.39,Cancelled,Customer Service,CS008,Cancellation Before Premium Due,Waiting for Information,Yes
DH000003,PET000003,CL000179,2025-01-31,21.12,Cancelled,Retentions,RET013,Death of Pet,Payment Date Misunderstood,Yes
DH000004,PET000004,CL000032,2025-01-31,175.71,Cancelled,Claims,CLM010,Cancellation Before Premium Due,Waiting for Information,Yes
DH000005,PET000005,CL000075,2025-01-31,271.06,Cancelled,Retentions,RET015,Death of Pet,Agent Forgot,No
DH000006,PET000006,CL000019,2025-01-31,58.57,Void,Retentions,RET013,Cancellation from Renewal (Void),Agent Forgot,No
DH000007,PET000007,CL000197,2025-01-31,61.46,Cancelled,Retentions,RET007,Death of Pet,Refund Mailbox Delay,No
DH000008,PET000008,CL000036,2025-01-31,32.46,Void,Claims,CLM007,Death of Pet,Payment Date Misunderstood,Yes
DH000009,PET000009,CL000029,2025-01-31,16.41,Cancelled,Customer Service,CS013,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000010,PET000010,CL000003,2025-01-31,55.74,Cancelled,Customer Service,CS025,Death of Pet,Payment Date Misunderstood,No
DH000011,PET000011,CL000068,2025-01-31,252.39,Void,Customer Service,CS021,Death of Pet,Payment Date Misunderstood,No
DH000012,PET000012,CL000001,2025-01-31,29.55,Void,Complaints,CMP003,Death of Pet,Refund Mailbox Delay,Yes
DH000013,PET000013,CL000018,2025-01-31,206.55,Cancelled,Complaints,CMP002,Death of Pet,Refund Mailbox Delay,No
DH000014,PET000014,CL000177,2025-01-31,22.48,Cancelled,Customer Service,CS015,Death of Pet,Payment Date Misunderstood,No
DH000015,PET000015,CL000057,2025-01-31,7.22,Cancelled,Retentions,RET011,Death of Pet,Payment Date Misunderstood,No
DH000016,PET000016,CL000147,2025-01-31,19.73,Cancelled,Retentions,RET022,Death of Pet,Refund Mailbox Delay,Yes
DH000017,PET000017,CL000166,2025-01-31,4.32,Cancelled,Retentions,RET007,Death of Pet,Payment Date Misunderstood,No
