Case ID,Policy Number,Client Number,Snapshot Date,Outstanding Amount,Cancellation Status,Cancelling Department,Cancelling Agent,Agent Working,Refund Type,Root Cause,Customer Contacted,Outcome
DH000468,PET000468,CL000088,2025-04-30,10.44,Void,Customer Service,CS011,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000469,PET000469,CL000153,2025-04-30,86.35,Cancelled,Retentions,RET016,DH001,Cancellation Before Premium Due,Agent Forgot,Yes,No Action
DH000470,PET000470,CL000007,2025-04-30,13.31,Cancelled,Retentions,RET005,DH002,Death of Pet,Agent Forgot,No,Actioned
DH000471,PET000471,CL000190,2025-04-30,27.87,Void,Retentions,RET023,DH001,Death of Pet,Waiting for Information,No,Actioned
DH000472,PET000472,CL000038,2025-04-30,42.87,Cancelled,Customer Service,CS014,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000473,PET000473,CL000089,2025-04-30,3.01,Cancelled,Retentions,RET015,DH002,Death of Pet,Refund Mailbox Delay,No,Actioned
DH000474,PET000474,CL000175,2025-04-30,73.73,Cancelled,Retentions,RET030,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000475,PET000475,CL000137,2025-04-30,97.81,Cancelled,Claims,CLM006,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH000476,PET000476,CL000192,2025-04-30,36.88,Cancelled,Customer Service,CS022,DH001,Death of Pet,Payment Date Misunderstood,Yes,Actioned
DH000477,PET000477,CL000135,2025-04-30,4.74,Cancelled,Retentions,RET001,DH001,Death of Pet,Waiting for Information,Yes,Actioned
DH000478,PET000478,CL000032,2025-04-30,56.01,Void,Retentions,RET022,DH001,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
DH000479,PET000479,CL000020,2025-04-30,96.14,Cancelled,Claims,CLM006,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH000480,PET000480,CL000016,2025-04-30,42.51,Cancelled,Complaints,CMP002,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000481,PET000481,CL000165,2025-04-30,4.7,Cancelled,Retentions,RET024,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH000482,PET000482,CL000001,2025-04-30,232.92,Void,Claims,CLM010,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000483,PET000483,CL000200,2025-04-30,53.51,Cancelled,Customer Service,CS025,DH002,Death of Pet,Refund Mailbox Delay,No,Actioned
DH000484,PET000484,CL000015,2025-04-30,97.94,Cancelled,Complaints,CMP001,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000485,PET000485,CL000099,2025-04-30,64.95,Void,Customer Service,CS016,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000486,PET000486,CL000007,2025-04-30,79.65,Void,Customer Service,CS010,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000487,PET000487,CL000015,2025-04-30,38.84,Void,Customer Service,CS017,DH002,Cancellation from Renewal (Void),Waiting for Information,No,No Action
DH000488,PET000488,CL000060,2025-04-30,107.39,Cancelled,Customer Service,CS020,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000489,PET000489,CL000025,2025-04-30,16.84,Void,Claims,CLM002,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000490,PET000490,CL000189,2025-04-30,66.22,Void,Customer Service,CS005,DH002,Cancellation from Renewal (Void),Agent Forgot,No,Actioned
DH000491,PET000491,CL000086,2025-04-30,3.1,Void,Retentions,RET012,DH001,Death of Pet,Payment Date Misunderstood,Yes,Actioned
DH000492,PET000492,CL000157,2025-04-30,16.32,Void,Retentions,RET001,DH001,Cancellation from Renewal (Void),Agent Forgot,No,Actioned
DH000493,PET000493,CL000178,2025-04-30,88.63,Cancelled,Retentions,RET021,DH002,Death of Pet,Refund Mailbox Delay,No,Actioned
DH000494,PET000494,CL000047,2025-04-30,80.61,Cancelled,Retentions,RET014,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Raised
DH000495,PET000495,CL000159,2025-04-30,40.45,Cancelled,Customer Service,CS022,DH001,Death of Pet,Agent Forgot,No,No Action
DH000496,PET000496,CL000122,2025-04-30,16.4,Cancelled,Retentions,RET012,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000497,PET000497,CL000027,2025-04-30,96.24,Void,Customer Service,CS004,DH001,Cancellation from Renewal (Void),Agent Forgot,No,Actioned
DH000498,PET000498,CL000051,2025-04-30,94.92,Void,Retentions,RET008,DH002,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000499,PET000499,CL000125,2025-04-30,4.64,Cancelled,Retentions,RET012,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000500,PET000500,CL000009,2025-04-30,52.99,Cancelled,Customer Service,CS006,DH002,Death of Pet,Payment Date Misunderstood,No,No Action
DH000501,PET000501,CL000044,2025-04-30,32.11,Void,Customer Service,CS007,DH002,Cancellation from Renewal (Void),Payment Date Misunderstood,No,No Action
DH000502,PET000502,CL000064,2025-04-30,27.38,Cancelled,Complaints,CMP005,DH001,Death of Pet,Refund Mailbox Delay,No,Actioned
DH000503,PET000503,CL000109,2025-04-30,29.18,Cancelled,Claims,CLM008,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000504,PET000504,CL000034,2025-04-30,19.57,Cancelled,Retentions,RET022,DH002,Death of Pet,Payment Date Misunderstood,No,No Action
DH000505,PET000505,CL000119,2025-04-30,93.71,Void,Retentions,RET015,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000506,PET000506,CL000009,2025-04-30,40.12,Cancelled,Customer Service,CS019,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH000507,PET000507,CL000015,2025-04-30,46.4,Cancelled,Retentions,RET015,DH001,Death of Pet,Payment Date Misunderstood,Yes,Actioned
DH000508,PET000508,CL000053,2025-04-30,3.68,Cancelled,Customer Service,CS025,DH001,Cancellation Before Premium Due,Waiting for Information,No,No Action
DH000509,PET000509,CL000129,2025-04-30,63.86,Cancelled,Customer Service,CS017,DH001,Death of Pet,Waiting for Information,No,Actioned
DH000510,PET000510,CL000095,2025-04-30,97.27,Void,Complaints,CMP001,DH001,Cancellation from Renewal (Void),Agent Forgot,Yes,No Action
DH000511,PET000511,CL000074,2025-04-30,115.4,Cancelled,Retentions,RET005,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000512,PET000512,CL000034,2025-04-30,26.81,Void,Retentions,RET007,DH001,Death of Pet,Waiting for Information,No,Actioned
DH000513,PET000513,CL000149,2025-04-30,35.85,Cancelled,Customer Service,CS018,DH002,Death of Pet,Waiting for Information,No,Actioned
DH000514,PET000514,CL000059,2025-04-30,48.83,Cancelled,Retentions,RET012,DH002,Death of Pet,Refund Mailbox Delay,No,Actioned
DH000515,PET000515,CL000045,2025-04-30,84.65,Cancelled,Retentions,RET008,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000516,PET000516,CL000144,2025-04-30,83.28,Cancelled,Retentions,RET015,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000517,PET000517,CL000118,2025-04-30,131.22,Cancelled,Customer Service,CS017,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH000518,PET000518,CL000194,2025-04-30,214.75,Cancelled,Claims,CLM008,DH002,Cancellation Before Premium Due,Agent Forgot,No,Actioned
DH000519,PET000519,CL000142,2025-04-30,0.74,Cancelled,Retentions,RET012,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000520,PET000520,CL000197,2025-04-30,10.91,Cancelled,Customer Service,CS003,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000521,PET000521,CL000093,2025-04-30,38.64,Cancelled,Retentions,RET012,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000522,PET000522,CL000190,2025-04-30,260.74,Cancelled,Complaints,CMP004,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000523,PET000523,CL000135,2025-04-30,113.23,Void,Customer Service,CS003,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000524,PET000524,CL000194,2025-04-30,139.86,Void,Retentions,RET016,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000525,PET000525,CL000190,2025-04-30,11.08,Cancelled,Complaints,CMP004,DH001,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH000526,PET000526,CL000177,2025-04-30,51.43,Cancelled,Customer Service,CS003,DH002,Cancellation Before Premium Due,Agent Forgot,No,Actioned
DH000527,PET000527,CL000122,2025-04-30,263.66,Cancelled,Retentions,RET009,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH000528,PET000528,CL000092,2025-04-30,20.91,Void,Retentions,RET010,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000529,PET000529,CL000025,2025-04-30,16.69,Cancelled,Claims,CLM005,DH002,Cancellation Before Premium Due,Agent Forgot,Yes,Actioned
DH000530,PET000530,CL000037,2025-04-30,5.42,Cancelled,Retentions,RET030,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000531,PET000531,CL000158,2025-04-30,97.63,Void,Customer Service,CS023,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000532,PET000532,CL000090,2025-04-30,24.51,Cancelled,Claims,CLM010,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH000533,PET000533,CL000178,2025-04-30,2.65,Void,Retentions,RET023,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH000534,PET000534,CL000169,2025-04-30,12.38,Cancelled,Retentions,RET022,DH001,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH000535,PET000535,CL000052,2025-04-30,24.07,Void,Complaints,CMP005,DH002,Death of Pet,Agent Forgot,No,Actioned
DH000536,PET000536,CL000018,2025-04-30,5.99,Void,Retentions,RET010,DH001,Cancellation from Renewal (Void),Agent Forgot,No,Actioned
DH000537,PET000537,CL000055,2025-04-30,270.26,Cancelled,Retentions,RET022,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000538,PET000538,CL000029,2025-04-30,65.72,Cancelled,Customer Service,CS012,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000539,PET000539,CL000073,2025-04-30,39.45,Void,Claims,CLM004,DH002,Death of Pet,Payment Date Misunderstood,Yes,Actioned
DH000540,PET000540,CL000122,2025-04-30,173.49,Cancelled,Customer Service,CS013,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000541,PET000541,CL000027,2025-04-30,94.62,Void,Retentions,RET007,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH000542,PET000542,CL000149,2025-04-30,40.25,Cancelled,Complaints,CMP003,DH002,Cancellation Before Premium Due,Refund Mailbox Delay,No,Actioned
