Case ID,Policy Number,Client Number,Outstanding Amount,Cancellation Status,Date Added,Reporting Date,Case Status,Completion Date,Completed By,Final Outcome,Case Age Days
DH000001,PET000001,CL000029,3.11,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000002,PET000002,CL000155,2.39,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000003,PET000003,CL000179,21.12,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000004,PET000004,CL000032,175.71,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000005,PET000005,CL000075,271.06,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000006,PET000006,CL000019,58.57,Void,2025-02-15,2025-02-21,Open,,,,6
DH000007,PET000007,CL000197,61.46,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000008,PET000008,CL000036,32.46,Void,2025-02-15,2025-02-21,Open,,,,6
DH000009,PET000009,CL000029,16.41,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000010,PET000010,CL000003,55.74,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000011,PET000011,CL000068,252.39,Void,2025-02-15,2025-02-21,Open,,,,6
DH000012,PET000012,CL000001,29.55,Void,2025-02-15,2025-02-21,Open,,,,6
DH000013,PET000013,CL000018,206.55,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000014,PET000014,CL000177,22.48,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000015,PET000015,CL000057,7.22,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000016,PET000016,CL000147,19.73,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000017,PET000017,CL000166,4.32,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000018,PET000018,CL000141,6.7,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000019,PET000019,CL000098,4.21,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000020,PET000020,CL000125,21.88,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000021,PET000021,CL000136,48.43,Void,2025-02-15,2025-02-21,Open,,,,6
DH000022,PET000022,CL000021,33.35,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000023,PET000023,CL000193,101.87,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000024,PET000024,CL000063,16.32,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000025,PET000025,CL000035,45.59,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000026,PET000026,CL000126,46.33,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000027,PET000027,CL000181,10.4,Void,2025-02-15,2025-02-21,Open,,,,6
DH000028,PET000028,CL000079,47.32,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000029,PET000029,CL000105,249.9,Void,2025-02-15,2025-02-21,Open,,,,6
DH000030,PET000030,CL000106,93.2,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000031,PET000031,CL000090,41.82,Void,2025-02-15,2025-02-21,Open,,,,6
DH000032,PET000032,CL000103,92.18,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000033,PET000033,CL000089,65.69,Void,2025-02-15,2025-02-21,Open,,,,6
DH000034,PET000034,CL000185,247.41,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000035,PET000035,CL000171,26.1,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000036,PET000036,CL000074,41.43,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000037,PET000037,CL000189,13.4,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000038,PET000038,CL000063,222.26,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000039,PET000039,CL000177,7.63,Void,2025-02-15,2025-02-21,Open,,,,6
DH000040,PET000040,CL000032,42.06,Void,2025-02-15,2025-02-21,Open,,,,6
DH000041,PET000041,CL000130,46.28,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000042,PET000042,CL000125,63.74,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000043,PET000043,CL000105,28.64,Void,2025-02-15,2025-02-21,Open,,,,6
DH000044,PET000044,CL000091,25.61,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000045,PET000045,CL000104,92.03,Void,2025-02-15,2025-02-21,Open,,,,6
DH000046,PET000046,CL000110,4.89,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000047,PET000047,CL000065,73.52,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000048,PET000048,CL000064,10.82,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000049,PET000049,CL000184,8.28,Cancelled,2025-02-15,2025-02-21,Open,,,,6
